name,state,year,se,jobs,se_jobs,rd,gdp,rd_gdp
New York,NY,2014,348740,8810950,3.96,20820,1427495,1.46
New York,NY,2015,368920,8984890,4.11,22401,1487754,1.51
New York,NY,2016,378600,9097650,4.16,23212,1539555,1.51
New York,NY,2017,392570,9207870,4.26,23631,1604134,1.47
North Carolina,NC,2008,153680,4063420,3.78,8612,413363,2.08
North Carolina,NC,2009,158920,3896750,4.08,8111,406477,2
North Carolina,NC,2010,155030,3772780,4.11,8765,415206,2.11
North Carolina,NC,2011,161880,3814860,4.24,9356,427206,2.19
North Carolina,NC,2012,167900,3878800,4.33,9382,439571,2.13
North Carolina,NC,2013,173960,3947030,4.41,11318,455522,2.48
North Carolina,NC,2014,181030,4030880,4.49,11343,475995,2.38
North Carolina,NC,2015,187210,4125070,4.54,11823,503629,2.35
North Carolina,NC,2016,199300,4231020,4.71,13415,519122,2.58
North Carolina,NC,2017,207220,4298390,4.82,13799,538402,2.56
North Dakota,ND,2008,9450,350360,2.7,511,31722,1.61
North Dakota,ND,2009,9930,353630,2.81,445,32003,1.39
North Dakota,ND,2010,11050,355710,3.11,469,35426,1.32
North Dakota,ND,2011,12070,371630,3.25,504,41179,1.22
North Dakota,ND,2012,13120,403290,3.25,480,51345,0.93
North Dakota,ND,2013,12520,422930,2.96,489,53882,0.91
North Dakota,ND,2014,12970,440420,2.94,523,58650,0.89
North Dakota,ND,2015,12960,447820,2.89,460,55012,0.84
North Dakota,ND,2016,14020,425200,3.3,515,50833,1.01
North Dakota,ND,2017,14010,416670,3.36,592,52472,1.13
Ohio,OH,2008,206320,5323130,3.88,10164,495743,2.05
Ohio,OH,2009,207930,5091490,4.08,10093,480322,2.1
Ohio,OH,2010,195840,4921690,3.98,10050,497208,2.02
Ohio,OH,2011,208140,4977910,4.18,10359,525388,1.97
Ohio,OH,2012,0,5054250,0,10928,540819,2.02
Ohio,OH,2013,218030,5125850,4.25,11164,561046,1.99
Ohio,OH,2014,219830,5200880,4.23,12005,593355,2.02
Ohio,OH,2015,233570,5280850,4.42,12233,610772,2
Ohio,OH,2016,239800,5337890,4.49,11991,622835,1.93
Ohio,OH,2017,249180,5370640,4.64,13056,645326,2.02
Oklahoma,OK,2008,48900,1557750,3.14,1030,159660,0.65
Oklahoma,OK,2009,45730,1525330,3,1003,145736,0.69
Oklahoma,OK,2010,44190,1483760,2.98,1029,152911,0.67
Oklahoma,OK,2011,47090,1498260,3.14,1207,165036,0.73
Oklahoma,OK,2012,50420,1529900,3.3,1044,173484,0.6
Oklahoma,OK,2013,51900,1558860,3.33,1016,182618,0.56
Oklahoma,OK,2014,52910,1577330,3.35,1113,195023,0.57
Oklahoma,OK,2015,55170,1597130,3.45,1311,185937,0.71
Oklahoma,OK,2016,54380,1586890,3.43,1371,178913,0.77
Oklahoma,OK,2017,55460,1573000,3.53,1531,188368,0.81
Oregon,OR,2008,70070,1706740,4.11,4802,165189,2.91
Oregon,OR,2009,69630,1624490,4.29,4864,160641,3.03
Oregon,OR,2010,0,1569700,0,5264,163828,3.21
Oregon,OR,2011,0,1586620,0,5515,170621,3.23
Oregon,OR,2012,75780,1609900,4.71,6031,174493,3.46
Oregon,OR,2013,79040,1640300,4.82,6483,179383,3.61
Oregon,OR,2014,80470,1683470,4.78,7279,188880,3.85
Oregon,OR,2015,86350,1735220,4.98,7208,203159,3.55
Oregon,OR,2016,89080,1790940,4.97,7382,215050,3.43
Oregon,OR,2017,92790,1830790,5.07,8579,226619,3.79
Pennsylvania,PA,2008,227170,5705170,3.98,13068,582240,2.24
Pennsylvania,PA,2009,0,5572660,0,13479,577380,2.33
Pennsylvania,PA,2010,0,5483220,0,13079,599313,2.18
Pennsylvania,PA,2011,0,5549240,0,13651,618988,2.21
Pennsylvania,PA,2012,0,5596480,0,13210,641317,2.06
Pennsylvania,PA,2013,243850,5616820,4.34,14743,663901,2.22
Pennsylvania,PA,2014,248750,5653840,4.4,14898,691188,2.16
Pennsylvania,PA,2015,255170,5709480,4.47,14839,711205,2.09
Pennsylvania,PA,2016,262280,5747020,4.56,17420,726164,2.4
Pennsylvania,PA,2017,267350,5781610,4.62,15998,744290,2.15
Rhode Island,RI,2008,18090,478420,3.78,1233,47108,2.62
Rhode Island,RI,2009,18120,458760,3.95,1152,47901,2.4
Rhode Island,RI,2010,18210,448150,4.06,1439,49572,2.9
Rhode Island,RI,2011,19450,450980,4.31,1396,50176,2.78
Rhode Island,RI,2012,20180,453020,4.45,1291,51642,2.5
Rhode Island,RI,2013,20740,456100,4.55,1328,53210,2.5
Rhode Island,RI,2014,21210,463930,4.57,1298,54427,2.38
Rhode Island,RI,2015,21550,471290,4.57,1427,56759,2.51
Rhode Island,RI,2016,22000,475190,4.63,1641,57694,2.84
Rhode Island,RI,2017,23010,475910,4.83,1410,58506,2.41
South Carolina,SC,2008,57770,1892690,3.05,2086,161805,1.29
South Carolina,SC,2009,57370,1802900,3.18,2276,159836,1.42
South Carolina,SC,2010,56230,1746820,3.22,2417,163857,1.48
South Carolina,SC,2011,61020,1772880,3.44,2389,170087,1.4
South Carolina,SC,2012,63170,1796550,3.52,2660,175375,1.52
South Carolina,SC,2013,65140,1826120,3.57,1949,183015,1.06
South Carolina,SC,2014,67300,1876480,3.59,2034,191938,1.06
South Carolina,SC,2015,68380,1928140,3.55,2257,203921,1.11
South Carolina,SC,2016,71190,1979820,3.6,2276,212987,1.07
South Carolina,SC,2017,72970,2009460,3.63,2360,223111,1.06
South Dakota,SD,2008,11870,395960,3,254,36669,0.69
South Dakota,SD,2009,11570,392890,2.94,263,36193,0.73
South Dakota,SD,2010,11150,387590,2.88,271,37484,0.72
