id,nobelwinners,category,year,sex
304,Daniel Bovet,physiology or medicine,1957,M
305,Albert Camus,literature,1957,M
306,Lester B. Pearson,peace,1957,M
307,Pavel Cherenkov,physics,1958,M
308,Ilya Frank,physics,1958,M
309,Igor Tamm,physics,1958,M
310,Frederick Sanger,chemistry,1958,M
311,George Wells Beadle,physiology or medicine,1958,M
312,Edward Lawrie Tatum,physiology or medicine,1958,M
313,Joshua Lederberg,physiology or medicine,1958,M
314,Boris Pasternak,literature,1958,M
315,Dominique Pire,peace,1958,M
316,Emilio G. Segrè,physics,1959,M
317,Owen Chamberlain,physics,1959,M
318,Jaroslav Heyrovský,chemistry,1959,M
319,Arthur Kornberg,physiology or medicine,1959,M
320,Severo Ochoa,physiology or medicine,1959,M
321,Salvatore Quasimodo,literature,1959,M
322,Philip Noel-Baker,peace,1959,M
323,Donald A. Glaser,physics,1960,M
324,Willard Libby,chemistry,1960,M
325,Frank Macfarlane Burnet,physiology or medicine,1960,M
326,Peter Medawar,physiology or medicine,1960,M
327,Saint-John Perse,literature,1960,M
328,Albert Lutuli,peace,1960,M
329,Robert Hofstadter,physics,1961,M
330,Rudolf Mössbauer,physics,1961,M
331,Melvin Calvin,chemistry,1961,M
332,Georg von Békésy,physiology or medicine,1961,M
333,Ivo Andrić,literature,1961,M
334,Dag Hammarskjöld,peace,1961,M
335,Lev Landau,physics,1962,M
336,Max Perutz,chemistry,1962,M
337,John Kendrew,chemistry,1962,M
338,Francis Crick,physiology or medicine,1962,M
339,James D. Watson,physiology or medicine,1962,M
340,Maurice Wilkins,physiology or medicine,1962,M
341,John Steinbeck,literature,1962,M
342,Linus Pauling,peace,1962,M
343,Eugene Wigner,physics,1963,M
344,Maria Goeppert-Mayer,physics,1963,F
345,J. Hans D. Jensen,physics,1963,M
346,Karl Ziegler,chemistry,1963,M
347,Giulio Natta,chemistry,1963,M
348,John Eccles,physiology or medicine,1963,M
349,Alan Lloyd Hodgkin,physiology or medicine,1963,M
350,Andrew Huxley,physiology or medicine,1963,M
351,Giorgos Seferis,literature,1963,M
352,International Committee of the Red Cross,peace,1963,M
353,League of Red Cross societies,peace,1963,M
354,Charles Hard Townes,physics,1964,M
355,Nikolay Basov,physics,1964,M
356,Alexander Prokhorov,physics,1964,M
357,Dorothy Hodgkin,chemistry,1964,F
358,Konrad Emil Bloch,physiology or medicine,1964,M
359,Feodor Felix Konrad Lynen,physiology or medicine,1964,M
360,Jean-Paul Sartre,literature,1964,M
361,"Martin Luther King, Jr.",peace,1964,M
362,Sin-Itiro Tomonaga,physics,1965,M
363,Julian Schwinger,physics,1965,M
364,Richard Feynman,physics,1965,M
365,Robert Burns Woodward,chemistry,1965,M
366,François Jacob,physiology or medicine,1965,M
367,André Michel Lwoff,physiology or medicine,1965,M
368,Jacques Monod,physiology or medicine,1965,M
369,Mikhail Sholokhov,literature,1965,M
370,United Nations International Children's Emergency Fund (UNICEF),peace,1965,M
371,Alfred Kastler,physics,1966,M
372,Robert S. Mulliken,chemistry,1966,M
373,Francis Peyton Rous,physiology or medicine,1966,M
374,Charles Brenton Huggins,physiology or medicine,1966,M
375,Shmuel Yosef Agnon,literature,1966,M
376,Nelly Sachs,literature,1966,F
377,Hans Bethe,physics,1967,M
378,Manfred Eigen,chemistry,1967,M
379,Ronald George Wreyford Norrish,chemistry,1967,M
380,George Porter,chemistry,1967,M
381,Ragnar Granit,physiology or medicine,1967,M
382,Haldan Keffer Hartline,physiology or medicine,1967,M
383,George Wald,physiology or medicine,1967,M
384,Miguel Ángel Asturias,literature,1967,M
385,Luis Walter Alvarez,physics,1968,M
386,Lars Onsager,chemistry,1968,M
387,Robert W. Holley,physiology or medicine,1968,M
388,Har Gobind Khorana,physiology or medicine,1968,M
389,Marshall Warren Nirenberg,physiology or medicine,1968,M
390,Yasunari Kawabata,literature,1968,M
391,René Cassin,peace,1968,M
392,Murray Gell-Mann,physics,1969,M
393,Derek Barton,chemistry,1969,M
394,Odd Hassel,chemistry,1969,M
395,Max Delbrück,physiology or medicine,1969,M
396,Alfred Hershey,physiology or medicine,1969,M
397,Salvador Luria,physiology or medicine,1969,M
398,Samuel Beckett,literature,1969,M
399,International Labour Organization,peace,1969,M
400,Ragnar Frisch,economics,1969,M
401,Jan Tinbergen,economics,1969,M
402,Hannes Alfvén,physics,1970,M
403,Louis Néel,physics,1970,M
404,Luis Federico Leloir,chemistry,1970,M
405,Julius Axelrod,physiology or medicine,1970,M
